Symbol,LTP,LTV,% Change,High,Low,Open,Qty.
EBL,811.0,78,-0.37,834.0,800.0,815.0,1086500
AKPL,351.0,50,4.46,360.0,339.0,340.0,761142
KSBBL,374.0,235,1.63,385.0,368.0,385.0,661059
NCCB,321.0,500,-1.23,332.0,319.0,328.0,610181
NIFRA,585.0,100,-1.52,623.0,581.0,623.0,476981
HIDCL,457.0,400,2.93,463.0,444.0,450.0,473531
GBBL,360.0,80,0.0,379.0,358.0,378.0,446272
KBL,333.0,10,-1.77,344.0,331.0,340.0,430556
NHPC,159.0,59,-1.85,163.0,156.0,162.0,411427
GBIME,450.0,250,-2.17,483.0,449.0,483.0,406321
NMB50,12.45,2000,-0.95,12.65,12.45,12.57,374500
GIMES1,16.16,30000,-1.16,16.6,16.11,16.6,374082
CBL,239.0,112,-1.65,250.0,238.0,245.0,343822
SEF,12.37,1000,0.98,12.5,12.2,12.2,343137
LBBL,289.0,2146,-0.69,300.0,286.0,294.0,340480
MEGA,319.0,158,-2.45,331.0,315.0,327.0,329735
SANIMA,396.0,30,-1.0,415.0,395.0,408.0,324364
NICLBSL,1899.0,10,1.66,2037.0,1831.0,1961.0,288975
SAEF,14.33,500,-0.49,14.59,14.21,14.34,287347
JBBL,270.0,31,-4.26,287.0,268.0,287.0,285227
