Name ,Symbol ,Status ,Sector ,Instrument ,Email,,
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Active,Microfinance,Equity,ceo.aarambhachautari@gmail.com,,
Agriculture Development Bank Limited,ADBL,Active,Commercial Banks,Equity,cs@adbl.gov.np,,
Ajod Insurance Limited,AIL,Active,Non Life Insurance,Equity,bp.upadhayay@ajodinsurance.com,,
Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Active,Hydro Power,Equity,info@aankhukholahydro.com.np,,
Api Power Company Ltd.,API,Active,Hydro Power,Equity,srijanadangal@gmail.com,,
Arun Kabeli Power Ltd.,AKPL,Active,Hydro Power,Equity,info@arunkabeli.com,,
Arun Valley Hydropower Development Co. Ltd.,AHPC,Active,Hydro Power,Equity,arunvalley2054@gmail.com,,
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Active,Microfinance,Equity,ashamicrofinance@gmail.com,,
Asian Life Insurance Co. Limited,ALICL,Active,Life Insurance,Equity,murariraj.humagain@asianlife.com.np,,
Bank of Kathmandu Ltd.,BOKL,Active,Commercial Banks,Equity,deepak.gautam@bok.com.np,,
Barun Hydropower Co. Ltd.,BARUN,Active,Hydro Power,Equity,barunhydro@gmail.com,,
Best Finance Company Ltd.,BFC,Active,Finance,Equity,toya@bestfinance.com.np,,
Bottlers Nepal (Balaju) Limited,BNL,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,,
Bottlers Nepal (Terai) Limited,BNT,Active,Manufacturing And Processing,Equity,prburma@coca-cola.com.np,,
Butwal Power Company Limited,BPCL,Active,Hydro Power,Equity,hari.budhathoki@bpc.com.np,,
Central Finance Co. Ltd.,CFCL,Active,Finance,Equity,ashok@centralfinance.com.np,,
Century Commercial Bank Ltd.,CCBL,Active,Commercial Banks,Equity,Tulsi.Bhattarai@centurybank.com.np,,
Chandragiri Hills Limited,CGH,Active,Hotels and Tourism,Equity,jhalak.sharma@chandragirihills.com,,
Chhimek Laghubitta Bikas Bank Limited,CBBL,Active,Microfinance,Equity,info@chhimekbank.org,,
Chhyangdi Hydropower Ltd.,CHL,Active,Hydro Power,Equity,info@chpl.com.np,,
Chilime Hydropower Company Limited,CHCL,Active,Hydro Power,Equity,narayanprasad.acharya@chilime.com.np,,
Citizen Bank International Limited,CZBIL,Active,Commercial Banks,Equity,rajendra.shrestha@ctznbank.com,,
Citizen Investment Trust,CIT,Active,Investment,Equity,cit.cmkt@gmail.com,,
Civil Bank Ltd,CBL,Active,Commercial Banks,Equity,hirakaji.basnet@civilbank.com.np,,
Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Active,Microfinance,Equity,binod.acharya@civillaghubitta.com.np,,
Corporate Development Bank Limited,CORBL,Active,Development Banks,Equity,info@corporatebank.com.np,,
Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Active,Microfinance,Equity,gyanendra.aryal@ddbank.org.np,,
Dibyashwori Hydropower Ltd.,DHPL,Active,Hydro Power,Equity,dibyashwarihydropower@gmail.com,,
Everest Bank Limited,EBL,Active,Commercial Banks,Equity,suresh.chapagain@ebl.com.np,,
Everest Insurance Co. Ltd.,EIC,Active,Non Life Insurance,Equity,pradip@eic.com.np,,
Excel Development Bank Ltd.,EDBL,Active,Development Banks,Equity,info@edb.com.np,,
First Micro Finance Development Bank Ltd.,FMDBL,Active,Microfinance,Equity,danaraj@fmdb.com.np,,
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Active,Microfinance,Equity,krishna@forward.org.np,,
Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Active,Microfinance,Equity,info@ganapatimicro.com.np,,
Garima Bikas Bank Limited,GBBL,Active,Development Banks,Equity,info@garimabank.com.np,,
General Insurance Company Nepal Ltd,GIC,Active,Non Life Insurance,Equity,ram@generalinsurance.com.np,,
Ghalemdi Hydro Limited,GHL,Active,Hydro Power,Equity,relinarenergy@gmail.com,,
Global IME Bank Limited,GBIME,Active,Commercial Banks,Equity,bishnu.baskota@gibl.com.np,,
Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Active,Microfinance,Equity,kiran.rmfi@gmail.com,,
Goodwill Finance Co. Ltd.,GFCL,Active,Finance,Equity,gfcl@gfcl.com,,
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Active,Microfinance,Equity,info@grameenbanknepal.com,,
Green Development Bank Ltd.,GRDBL,Active,Development Banks,Equity,info@greenbank.com.np,,
GreenLife Hydropower Limited,GLH,Active,Hydro Power,Equity,info@greenlifehydropower.com.np,,
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Active,Finance,Equity,dipesh.shakya@gmbf.com.np,,
Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Active,Microfinance,Equity,mishranagendra2015@gmail.com,,
Gurans Life Insurance Company Ltd.,GLICL,Active,Life Insurance,Equity,balmukunda@guranslife.com,,
Gurkhas Finance Ltd.,GUFL,Active,Finance,Equity,mukunda@gurkhasfinance.com.np,,
Himal Dolakha Hydropower Company Limited,HDHPC,Active,Hydro Power,Equity,hdhp@wlink.com.np,,
Himalaya Urja Bikas Company Limited,HURJA,Active,Hydro Power,Equity,himalayaurja@gmail.com,,
Himalayan Bank Limited,HBL,Active,Commercial Banks,Equity,bipin.hada@himalayanbank.com,,
Himalayan Distillery Limited,HDL,Active,Manufacturing And Processing,Equity,netra.timsina@jginepal.com,,
Himalayan General Insurance Co. Ltd,HGI,Active,Non Life Insurance,Equity,dhruba@hgi.com.np,,
Himalayan Power Partner Ltd.,HPPL,Active,Hydro Power,Equity,hpphydro.binaya@gmail.com,,
Hydorelectricity Investment and Development Company Ltd,HIDCL,Active,Investment,Equity,hidcl1300@gmail.com,,
ICFC Finance Limited,ICFC,Active,Finance,Equity,sunil.pant@icfcbank.com,,
IME General Insurance Ltd.,IGI,Active,Non Life Insurance,Equity,sharan.regmi@iginepal.com,,
Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Active,Microfinance,Equity,ilbslfinance@gmail.com,,
Janaki Finance Ltd.,JFL,Active,Finance,Equity,janakifinancecompany@yahoo.com,,
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Active,Microfinance,Equity,info@jucbank.com.np,,
Joshi Hydropower Development Company Ltd,JOSHI,Active,Hydro Power,Equity,info@joshihydropower.com,,
Jyoti Bikas Bank Limited,JBBL,Active,Development Banks,Equity,krishna.oasti@jbbl.com.np,,
Kalika Microcredit Development Bank Ltd.,KMCDB,Active,Microfinance,Equity,info@kalikabank.com.np,,
Kalika power Company Ltd,KPCL,Active,Hydro Power,Equity,prabinthapaliya143@gmail.com,,
Kamana Sewa Bikas Bank Limited,KSBBL,Active,Development Banks,Equity,hari.lamsal@kamanasewabank.com,,
Karnali Development Bank Limited,KRBL,Active,Development Banks,Equity,sniraaz@kdblnepal.com,,
Khanikhola Hydropower Co. Ltd.,KKHC,Active,Hydro Power,Equity,khanikhola.hpc@gmail.com,,
Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Active,Microfinance,Equity,nrnmfiho@gmail.com,,
Kumari Bank Limited,KBL,Active,Commercial Banks,Equity,narendra.chhatkuli@kumaribank.com,,
Laxmi Bank Limited,LBL,Active,Commercial Banks,Equity,piyush.aryal@laxmibank.com,,
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Active,Microfinance,Equity,prakash.sharma@laxmilaghu.com.np,,
Liberty Energy Company Limited,LEC,Active,Hydro Power,Equity,liberty@libertyenergy.com.np,,
Life Insurance Co. Nepal,LICN,Active,Life Insurance,Equity,binod.bhujel@licnepal.com.np,,
Lumbini Bikas Bank Ltd.,LBBL,Active,Development Banks,Equity,hari.subedi@lumbinibikasbank.com,,
Lumbini General Insurance Co. Ltd.,LGIL,Active,Non Life Insurance,Equity,devendra@lgic.com.np,,
Machhapuchhre Bank Limited,MBL,Active,Commercial Banks,Equity,Tika.Bhattarai@mbl.com.np,,
Mahalaxmi Bikas Bank Ltd.,MLBL,Active,Development Banks,Equity,som.pant@mahalaxmi.com.np,,
Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Active,Microfinance,Equity,mlbsl.nepal@gmail.com,,
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Active,Microfinance,Equity,saroj.singh@mslbsl.com.np,,
Manjushree Finance Ltd.,MFIL,Active,Finance,Equity,info@manjushreefinance.com.np,,
Mega Bank Nepal Ltd.,MEGA,Active,Commercial Banks,Equity,tulsi.pokharel@megabank.com.np,,
Mero Microfinance Bittiya Sanstha Ltd.,MERO,Active,Microfinance,Equity,meromicrofinance@gmail.com,,
Mirmire Microfinance Development Bank Ltd.,MMFDB,Active,Microfinance,Equity,info@mirmirebank.com.np,,
Miteri Development Bank Limited,MDB,Active,Development Banks,Equity,ramesh@miteribank.com.np,,
Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Active,Microfinance,Equity,mlboperationdepart@gmail.com,,
Mountain Energy Nepal Limited,MEN,Active,Hydro Power,Equity,rajendra.sharma@mountainenergy.com.np,,
Mountain Hydro Nepal Limited,MHNL,Active,Hydro Power,Equity,mountainhydronepal@gmail.com,,
Muktinath Bikas Bank Ltd.,MNBBL,Active,Development Banks,Equity,info@muktinathbank.com.np,,
Multipurpose Finance Company Limited,MPFL,Active,Finance,Equity,jha555p@gmail.com,,
Nabil Bank Limited,NABIL,Active,Commercial Banks,Equity,prakash.basukala@nabilbank.com,,
Narayani Development Bank Limited,NABBC,Active,Development Banks,Equity,info@ndbl.com.np,,
National Hydro Power Company Limited,NHPC,Active,Hydro Power,Equity,nhpc@nhpc.com,,
National Life Insurance Co. Ltd.,NLICL,Active,Life Insurance,Equity,it@nationallife.com.np,,
National Microfinance Bittiya Sanstha Ltd.,NMFBS,Active,Microfinance,Equity,nationalrcrupakheti@gmail.com,,
Neco Insurance Co. Ltd.,NIL,Active,Non Life Insurance,Equity,bishnu@neco.com.np,,
Nepal Bangladesh Bank Limited,NBB,Active,Commercial Banks,Equity,bishwapoudel@nbbl.com.np,,
Nepal Bank Limited,NBL,Active,Commercial Banks,Equity,suresh.ghimire@nbl.com.np,,
Nepal Credit And Commercial Bank Limited,NCCB,Active,Commercial Banks,Equity,corporate@nccbank.com.np,,
Nepal Doorsanchar Comapany Limited,NTC,Active,Others,Equity,cs.nt@ntc.net.np,,
Nepal Finance Ltd.,NFS,Active,Finance,Equity,mail@nefinsco.com,,
Nepal Hydro Developers Ltd.,NHDL,Active,Hydro Power,Equity,info@charnawathihydro.com,,
Nepal Infrastructure Bank Limited,NIFRA,Active,Investment,Equity,iswor.gautam@nifrabank.com,,
Nepal Insurance Co. Ltd.,NICL,Active,Non Life Insurance,Equity,legal@nepalinsurance.com.np,,
Nepal Investment Bank Limited,NIB,Active,Commercial Banks,Equity,deepa@nibl.com.np,,
Nepal Life Insurance Co. Ltd.,NLIC,Active,Life Insurance,Equity,info@nepallife.com.np,,
Nepal Lube Oil Limited,NLO,Active,Manufacturing And Processing,Equity,g.bhattarai@cg.holdings,,
Nepal Reinsurance Company Limited,NRIC,Active,Others,Equity,nepalre@ntc.net.np,,
Nepal SBI Bank Limited,SBI,Active,Commercial Banks,Equity,law@nsbl.com.np,,
Nerude Laghubita Bikas Bank Limited,NLBBL,Active,Microfinance,Equity,nerudeprasasan@gmail.com,,
Ngadi Group Power Ltd.,NGPL,Active,Hydro Power,Equity,nyadigroup06@gmail.com,,
NIC Asia Bank Ltd.,NICA,Active,Commercial Banks,Equity,suraj.shrestha3508@nicasiabank.com,,
NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Active,Microfinance,Equity,prahlad.niraula@nicasiabank.com,,
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Active,Microfinance,Equity,info@nirdhan.com,,
NLG Insurance Company Ltd.,NLG,Active,Non Life Insurance,Equity,manoj.shrestha@nlgi.com.np,,
NMB Bank Limited,NMB,Active,Commercial Banks,Equity,pramod.dahal@nmb.com.np,,
NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Active,Microfinance,Equity,govinda.banstola@nmbmicrofinance.com,,
NRN Infrastructure and Development Limited,NRN,Active,Investment,Equity,nrninvestmentltd@gmail.com,,
Oriental Hotels Limited,OHL,Active,Hotels and Tourism,Equity,legal@radkat.com.np,,
Panchakanya Mai Hydropower Ltd,PMHPL,Active,Hydro Power,Equity,panchakanyamai@gmail.com,,
Panchthar Power Compant Limited,PPCL,Active,Hydro Power,Equity,ppchewa@gmail.com,,
Pokhara Finance Ltd.,PFL,Active,Finance,Equity,buddhilaxmi.gurung@pokharafinance.com.np,,
Prabhu Bank Limited,PRVU,Active,Commercial Banks,Equity,amit.bhandari@prabhubank.com,,
Prabhu Insurance Ltd.,PRIN,Active,Non Life Insurance,Equity,info@prabhuinsurance.com,,
Prabhu Life Insurance Limited,PLI,Active,Life Insurance,Equity,info@prabhulife.com,,
Premier Insurance Co. Ltd.,PIC,Active,Non Life Insurance,Equity,premier@picl.com.np,,
Prime Commercial Bank Ltd.,PCBL,Active,Commercial Banks,Equity,santosh.baral@pcbl.com.np,,
Prime Life Insurance Company Limited,PLIC,Active,Life Insurance,Equity,rajan@primelifenepal.com,,
ProgressiveFinance Limited,PROFL,Active,Finance,Equity,bishal@pfltd.com.np,,
Prudential Insurance Co. Ltd.,PICL,Active,Non Life Insurance,Equity,anand.khadka@prudential.com.np,,
Radhi Bidyut Company Ltd,RADHI,Active,Hydro Power,Equity,info@radhibidyut.com.np,,
Rairang Hydropower Development Company Ltd.,RRHP,Active,Hydro Power,Equity,sayikanepal@gmail.com,,
Rastriya Beema Company Limited,RBCL,Active,Non Life Insurance,Equity,niranjan.acharya@rbcl.gov.np,,
RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Active,Hydro Power,Equity,rghpcl@gmail.com,,
Reliance Finance Ltd.,RLFL,Active,Finance,Equity,samaj@reliancenepal.com.np,,
Reliance Life Insurance Limited,RLI,Active,Life Insurance,Equity,muna@relifeinsurance.com,,
Ridi Hydropower Development Company Ltd.,RHPC,Active,Hydro Power,Equity,alok.kc4@gmail.com,,
RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Active,Microfinance,Equity,rmdc@wlink.com.np,,
RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Active,Microfinance,Equity,info@rsdcmf.com,,
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Active,Microfinance,Equity,info@sabaikolaghubitta.com,,
Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Active,Microfinance,Equity,resham.sadhana@gmail.com,,
Sagarmatha Insurance Co. Ltd.,SIC,Active,Non Life Insurance,Equity,bishow.ad@sagarmathainsurance.com.np,,
Salt Trading Corporation,STC,Active,Tradings,Equity,legalstcnepal@gmail.com,,
Samriddhi Finance Company Limited,SFCL,Active,Finance,Equity,cs@sfcl.com.np,,
Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Active,Microfinance,Equity,samudayikbank@gmail.com,,
Sana Kisan Bikas Bank Ltd,SKBBL,Active,Microfinance,Equity,info@skbbl.com.np,,
Sanima Bank Limited,SANIMA,Active,Commercial Banks,Equity,RUDRA@sanimabank.com,,
Sanima General Insurance Limited,SGI,Active,Non Life Insurance,Equity,sanima@sanimageneral.com,,
Sanima Mai Hydropower Ltd.,SHPC,Active,Hydro Power,Equity,jayanta@sanimahydro.com,,
SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Active,Hydro Power,Equity,sanjenhcl@gmail.com,,
Saptakoshi Development Bank Ltd,SAPDBL,Active,Development Banks,Equity,info@skdbl.com.np,,
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Active,Microfinance,Equity,nemtin@ntc.net.np,,
Shangrila Development Bank Ltd.,SADBL,Active,Development Banks,Equity,info@shangrilabank.com,,
Shikhar Insurance Co. Ltd.,SICL,Active,Non Life Insurance,Equity,suraj@shikharinsurance.com                                              ,,
Shine Resunga Development Bank Ltd.,SHINE,Active,Development Banks,Equity,info@srdb.com.np,,
Shiva Shree Hydropower Ltd,SSHL,Active,Hydro Power,Equity,shivashreehydropowerltd@gmail.com,,
SHIVAM CEMENTS LTD,SHIVM,Active,Manufacturing And Processing,Equity,info@shivamcement.com,,
Shree Investment Finance Co. Ltd.,SIFC,Active,Finance,Equity,info@shreefinance.com.np,,
Siddhartha Bank Limited,SBL,Active,Commercial Banks,Equity,laxman.ghimire@sbl.com.np,,
Siddhartha Insurance Ltd.,SIL,Active,Non Life Insurance,Equity,info@siddharthainsurance.com,,
Sindhu Bikash Bank Ltd,SINDU,Active,Development Banks,Equity,info@sindhubank.com.np,,
Soaltee Hotel Limited,SHL,Active,Hotels and Tourism,Equity,lbkhatri@soaltee.com.np,,
Standard Chartered Bank Limited,SCB,Active,Commercial Banks,Equity,Legal.Nepal@sc.com,,
Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Active,Microfinance,Equity,banksummit@yahoo.com,,
Sunrise Bank Limited,SRBL,Active,Commercial Banks,Equity,ishwar.pathak@sunrisebank.com.np,,
Support Microfinance Bittiya Sanstha Ltd.,SMB,Active,Microfinance,Equity,smicrofinance@gmail.com,,
Surya Life Insurance Company Limited,SLICL,Active,Life Insurance,Equity,raju.rajchal@suryalife.com,,
Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Active,Microfinance,Equity,suryodayalaghubitta@gmail.com,,
Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Active,Microfinance,Equity,dr.shakya@swbbl.com.np,,
Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Active,Microfinance,Equity,swabhimaansmbsl@gmail.com,,
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Active,Microfinance,Equity,info@slbbl.com,,
Synergy Power Development Ltd.,SPDL,Active,Hydro Power,Equity,synergy@gmail.com,,
Taragaon Regency Hotel Limited,TRH,Active,Hotels and Tourism,Equity,info@taragaon.com,,
Unilever Nepal Limited,UNL,Active,Manufacturing And Processing,Equity,sonam.shrestha@unilever.com,,
Union Hydropower Limited,UNHPL,Active,Hydro Power,Equity,unionhppl@gmail.com,,
United Finance Ltd.,UFL,Active,Finance,Equity,shesh.dhungana@ufl.com.np,,
United IDI Mardi RB Hydropower Limited.,UMRH,Active,Hydro Power,Equity,unitedidimardi7mw@gmail.com,,
United Insurance Co. (Nepal) Ltd.,UIC,Active,Non Life Insurance,Equity,bidur@unitedinsurance.com.np,,
United Modi Hydropower Ltd.,UMHL,Active,Hydro Power,Equity,navaraj.advocate@gmail.com,,
UNIVERSAL POWER COMPANY LTD,UPCL,Active,Hydro Power,Equity,universal2067@gmail.com,,
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Active,Microfinance,Equity,prem.pathak@unnatimfi.com.np,,
Upper Tamakoshi Hydropower Ltd,UPPER,Active,Hydro Power,Equity,neautp@mos.com.np,,
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Active,Microfinance,Equity,nsapkota@vlbs.com.np,,
Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Active,Microfinance,Equity,womimf@gmail.com,,
