Symbol,LTP,LTV,% Change,High,Low,Open,Qty.
ACLBSL,1639.0,20,-1.27,1660.0,1637.0,1644.0,6484
ADBL,448.0,100,0.67,452.0,445.0,450.0,80699
AHPC,261.0,500,0.38,265.0,258.0,265.0,119080
AIL,899.0,10,-0.11,917.0,884.0,900.0,47259
AKJCL,153.0,600,0.0,159.0,151.0,151.0,7084
AKPL,336.0,70,0.3,351.0,331.0,351.0,184237
ALBSL,1730.0,140,0.0,1736.0,1700.0,1705.0,11282
ALICL,1310.0,30,-0.76,1325.0,1300.0,1305.0,22182
API,350.0,61,1.74,357.0,340.0,350.0,370351
BARUN,244.0,100,-1.61,250.0,244.0,246.0,25275
BFC,187.0,100,10.0,187.0,162.0,162.0,190207
BNT,9599.0,22,-0.01,9699.0,9391.0,9650.0,452
BOKL,322.0,340,1.26,328.0,319.0,320.0,213474
BPCL,427.0,100,0.47,431.0,420.0,420.0,45025
CBBL,1777.0,100,-0.28,1850.0,1768.0,1850.0,46504
CBL,243.0,150,2.1,247.0,227.0,227.0,388785
CCBL,260.0,300,1.17,266.0,255.0,260.0,310444
CCBLPO,112.0,10735,0.0,112.0,112.0,112.0,10735
CFCL,238.0,10,5.78,240.0,224.0,224.0,116149
CGH,2490.0,10,0.2,2550.0,2405.0,2450.0,33584
CHCL,655.0,20,0.0,668.0,650.0,668.0,79400
CHL,295.0,20,9.67,295.0,277.0,282.0,87787
CIT,4159.0,10,0.19,4358.0,4150.0,4358.0,7320
CLBSL,1290.0,50,0.39,1389.0,1267.0,1286.0,17793
CLBSLP,665.0,16158,0.0,665.0,665.0,665.0,16158
CMF1,10.79,100,-0.19,10.99,10.6,10.6,86050
CMF2,11.34,10800,1.8,11.34,11.11,11.12,128400
CORBL,674.0,50,3.06,686.0,652.0,686.0,11125
CZBIL,333.0,1000,2.15,340.0,328.0,335.0,352743
DDBL,1828.0,20,-0.98,1879.0,1828.0,1852.0,21827
DHPL,127.0,110,4.1,129.0,116.0,116.0,73972
EBL,814.0,20,1.62,841.0,802.0,841.0,143622
EBLCP,753.0,10,3.86,753.0,739.0,739.0,57
EDBL,569.0,273,1.07,591.0,558.0,591.0,33665
EIC,771.0,300,-0.39,779.0,770.0,774.0,15723
EICPO,385.0,10,-2.28,400.0,375.0,375.0,4480
FMDBL,875.0,233,-1.02,901.0,870.0,870.0,48904
FOWAD,2987.0,20,0.23,3000.0,2975.0,2998.0,6864
GBBL,360.0,400,3.45,365.0,352.0,365.0,309955
GBIME,459.0,209,2.0,465.0,450.0,450.0,438732
GBIMEP,152.0,2456,0.0,152.0,152.0,152.0,2456
GBLBS,1205.0,50,-0.25,1225.0,1201.0,1225.0,39268
GFCL,275.0,41,2.23,290.0,269.0,269.0,54886
GHL,164.0,20,-0.61,171.0,162.0,162.0,16431
GIC,733.0,10,-1.08,749.0,731.0,745.0,12116
GILB,2501.0,67,-0.28,2551.0,2461.0,2508.0,9537
GIMES1,16.35,100,1.74,16.35,16.0,16.2,205065
GLBSL,1810.0,35,1.74,1836.0,1731.0,1795.0,5754
GLH,393.0,250,-1.01,410.0,388.0,405.0,18195
GLICL,785.0,146,1.95,786.0,765.0,770.0,36287
GMFBS,1770.0,10,-0.28,1785.0,1706.0,1740.0,2760
GMFIL,254.0,150,1.2,265.0,251.0,251.0,41089
GRDBL,204.0,20,9.68,204.0,186.0,187.0,93653
GUFL,500.0,10,2.04,500.0,473.0,499.0,61572
HBL,542.0,10,4.23,544.0,530.0,530.0,44681
HBLD83,1051.0,25,0.1,1051.0,1051.0,1051.0,75
HDHPC,149.0,73,1.36,154.0,147.0,149.0,171832
HDL,4488.0,20,1.38,4570.0,4380.0,4440.0,35540
HGI,764.0,50,-1.42,780.0,762.0,780.0,38928
HIDCL,444.0,25,5.21,445.0,419.0,426.0,314322
HPPL,395.0,20,-0.75,408.0,386.0,391.0,21794
HURJA,333.0,2000,0.91,337.0,327.0,336.0,17122
ICFC,340.0,200,1.19,346.0,334.0,336.0,77489
ICFCD83,1162.0,50,-1.53,1162.0,1157.0,1157.0,150
IGI,1191.0,80,1.36,1230.0,1182.0,1230.0,42019
ILBS,1690.0,50,-0.53,1710.0,1680.0,1710.0,8824
JBBL,282.0,50,6.02,286.0,267.0,270.0,440859
JFL,273.0,200,1.11,279.0,270.0,274.0,28124
JLI,565.0,10,9.92,565.0,501.0,501.0,789
JOSHI,138.0,30,0.73,139.0,135.0,137.0,12728
JSLBB,4457.0,10,-0.49,4501.0,4452.0,4500.0,2401
KBL,339.0,150,3.35,345.0,331.0,335.0,585860
KBLD86,1060.0,25,0.0,1060.0,1060.0,1060.0,25
KKHC,134.0,30,1.52,135.0,130.0,132.0,10539
KLBSL,1746.0,50,0.0,1833.0,1727.0,1833.0,1748
KMCDB,1361.0,10,-1.45,1385.0,1354.0,1354.0,10166
KPCL,290.0,80,1.75,294.0,280.0,280.0,19518
KRBL,216.0,240,9.64,216.0,193.0,206.0,82489
KSBBL,368.0,100,4.55,379.0,354.0,354.0,285112
LBBL,291.0,37,2.11,299.0,287.0,290.0,222768
LBL,320.0,200,1.59,326.0,315.0,315.0,230820
LEC,312.0,100,2.97,321.0,301.0,301.0,65675
LEMF,11.24,600,0.09,11.3,11.23,11.23,77422
LGIL,835.0,150,0.36,848.0,825.0,847.0,49676
LICN,2347.0,50,-0.89,2387.0,2344.0,2363.0,15979
LLBS,2124.0,47,1.82,2170.0,2075.0,2087.0,13361
LUK,10.22,100,-0.68,10.3,10.1,10.29,8510
MBL,325.0,79,0.93,330.0,322.0,322.0,158173
MDB,380.0,30,-2.56,398.0,379.0,390.0,27294
MEGA,327.0,200,1.87,329.0,321.0,325.0,452531
MEN,819.0,30,-1.68,884.0,805.0,874.0,40059
MERO,1554.0,90,-0.83,1568.0,1545.0,1568.0,33709
MFIL,525.0,10,4.17,527.0,510.0,514.0,103960
MHNL,258.0,40,0.0,266.0,258.0,258.0,35870
MLBBL,1780.0,10,-0.84,1847.0,1733.0,1847.0,4588
MLBL,309.0,20,-0.32,318.0,307.0,310.0,126615
MLBSL,1208.0,10,9.92,1208.0,1120.0,1120.0,70
MMFDB,1642.0,100,-0.79,1672.0,1640.0,1650.0,6173
MNBBL,447.0,100,3.71,455.0,430.0,436.0,198162
MNBBLP,220.0,1110,0.0,220.0,220.0,220.0,3330
MPFL,236.0,100,-3.67,245.0,232.0,245.0,15280
MSLB,2300.0,10,-1.71,2355.0,2290.0,2350.0,1089
NABBC,595.0,40,0.0,603.0,576.0,585.0,1330
NABIL,1370.0,15,-0.72,1449.0,1350.0,1449.0,168272
NBB,403.0,91,2.81,410.0,394.0,399.0,615629
NBBD2085,1046.0,25,0.1,1046.0,1046.0,1046.0,25
NBF2,11.63,1000,1.84,11.64,11.41,11.41,124600
NBL,457.0,100,-0.44,468.0,455.0,459.0,297744
NCCB,325.0,9385,0.62,333.0,324.0,325.0,324905
NCCBPO,121.0,11182,0.0,121.0,121.0,121.0,11182
NEF,12.51,5000,0.89,12.55,12.32,12.32,135845
NFS,314.0,100,0.64,318.0,306.0,308.0,16033
NGPL,247.0,50,-0.4,255.0,245.0,248.0,28382
NHDL,321.0,200,-1.23,337.0,320.0,331.0,1965
NHPC,162.0,500,-2.41,171.0,159.0,166.0,845205
NIB,469.0,33,0.64,475.0,466.0,475.0,126189
NIBLPF,12.6,2525,0.24,12.68,12.5,12.5,78662
NIBPO,400.0,200,0.25,413.0,400.0,406.0,34748
NIBSF1,13.54,600,0.59,13.54,13.21,13.21,57000
NICA,979.0,50,0.93,998.0,970.0,979.0,331555
NICAD8283,1125.0,110,-0.27,1125.0,1110.0,1110.0,160
NICBF,11.75,3000,2.17,11.75,11.46,11.46,41470
NICGF,12.5,24000,-1.19,12.72,12.45,12.45,191000
NICL,829.0,20,-1.19,844.0,825.0,840.0,61581
NICLBSL,1868.0,10,9.95,1868.0,1783.0,1783.0,269135
NICLPO,292.0,16930,0.0,292.0,292.0,292.0,16930
NIFRA,595.0,440,1.71,604.0,580.0,585.0,835570
NIL,1662.0,50,-0.18,1690.0,1660.0,1665.0,35025
NLBBL,1723.0,150,-0.4,1750.0,1700.0,1750.0,24485
NLG,1169.0,25,0.52,1183.0,1153.0,1160.0,26074
NLIC,2109.0,100,-0.14,2145.0,2105.0,2145.0,41559
NLICL,1159.0,50,0.43,1190.0,1155.0,1190.0,48582
NMB,440.0,100,0.69,447.0,437.0,441.0,238956
NMB50,12.57,2000,1.21,12.59,12.37,12.48,48200
NMBHF1,11.6,1000,-0.09,11.6,11.4,11.4,14710
NMBMF,1523.0,40,-1.74,1567.0,1518.0,1550.0,17066
NMFBS,3230.0,100,-3.52,3335.0,3216.0,3284.0,3587
NRIC,1426.0,174,-0.14,1453.0,1424.0,1430.0,76116
NRN,529.0,20,2.72,530.0,505.0,515.0,67886
NTC,1328.0,17,0.38,1338.0,1257.0,1257.0,50011
NUBL,1835.0,25,-1.82,1879.0,1830.0,1850.0,34567
OHL,469.0,10,0.0,471.0,461.0,470.0,8494
PBLD84,1066.0,80,-1.93,1066.0,1066.0,1066.0,220
PCBL,461.0,50,2.22,461.0,452.0,455.0,177352
PFL,310.0,432,-0.64,318.0,304.0,316.0,57857
PIC,1292.0,10,0.39,1312.0,1287.0,1312.0,26805
PICL,885.0,39,-0.9,892.0,885.0,890.0,11639
PLI,797.0,10,-0.37,840.0,795.0,840.0,22334
PLIC,875.0,13,0.0,889.0,870.0,872.0,24934
PMHPL,193.0,8000,0.0,193.0,187.0,190.0,16407
PPCL,300.0,280,-0.33,307.0,295.0,307.0,12945
PRIN,967.0,220,-0.21,988.0,960.0,975.0,17923
PROFL,193.0,1000,8.43,194.0,177.0,180.0,125599
PRVU,470.0,43,1.08,478.0,465.0,465.0,326113
RADHI,496.0,12,0.81,519.0,493.0,499.0,28326
RBCL,18250.0,20,1.33,18730.0,18001.0,18300.0,1011
RBCLPO,15850.0,40,-0.88,16550.0,15850.0,15990.0,851
RHPC,227.0,330,7.08,229.0,213.0,215.0,218856
RHPL,486.0,65,-1.82,504.0,484.0,504.0,118813
RLFL,293.0,300,0.0,302.0,285.0,300.0,58294
RLI,725.0,500,-0.41,740.0,721.0,735.0,31276
RMDC,1215.0,221,-1.14,1235.0,1213.0,1230.0,18946
RRHP,375.0,1885,-0.27,390.0,372.0,376.0,7667
RSDC,901.0,50,-1.31,929.0,898.0,929.0,19076
SABSL,1619.0,10,1.82,1619.0,1560.0,1590.0,12950
SADBL,247.0,700,4.22,248.0,239.0,239.0,152865
SAEF,14.4,1000,0.07,14.5,14.15,14.15,280060
SAND2085,1050.0,100,0.0,1050.0,1050.0,1050.0,100
SANIMA,400.0,100,1.78,414.0,397.0,399.0,315442
SAPDBL,206.0,100,9.57,206.0,189.0,190.0,159936
SBI,432.0,500,2.61,435.0,421.0,425.0,75234
SBIBD86,1046.0,50,0.0,1046.0,1046.0,1046.0,50
SBL,453.0,200,1.8,459.0,447.0,450.0,262627
SCB,608.0,200,0.0,620.0,607.0,620.0,58882
SDLBSL,1600.0,52,-2.44,1650.0,1590.0,1645.0,6637
SEF,12.25,1000,0.08,12.28,12.2,12.2,118900
SFCL,247.0,150,7.86,250.0,232.0,233.0,181845
SFMF,13.04,100,1.01,13.14,12.96,12.96,198499
SGI,787.0,30,-1.25,830.0,781.0,830.0,16774
SHINE,293.0,30,2.45,300.0,283.0,300.0,129653
SHIVM,1456.0,50,0.62,1509.0,1435.0,1460.0,37396
SHL,201.0,200,0.5,204.0,196.0,196.0,14735
SHPC,376.0,100,0.53,382.0,371.0,378.0,77092
SIC,1715.0,108,-0.29,1744.0,1714.0,1738.0,12654
SICL,1918.0,30,-0.1,1942.0,1915.0,1920.0,21429
SIFC,262.0,179,1.95,276.0,260.0,261.0,30438
SIGS2,12.49,100,1.54,12.49,12.28,12.28,41500
SIL,1251.0,30,-0.71,1260.0,1248.0,1260.0,10141
SINDU,268.0,120,8.94,270.0,248.0,255.0,203014
SJCL,465.0,200,-0.43,473.0,460.0,473.0,37153
SKBBL,1745.0,22,-0.51,1760.0,1735.0,1760.0,8405
SLBBL,1486.0,20,-0.47,1505.0,1476.0,1500.0,11009
SLBS,1900.0,46,-1.3,1924.0,1900.0,1902.0,1054
SLBSL,1408.0,30,-1.19,1419.0,1400.0,1400.0,3073
SLCF,10.01,150,0.2,10.04,9.68,10.0,99430
SLICL,856.0,100,2.03,870.0,840.0,840.0,45187
SMB,2400.0,97,1.69,2415.0,2360.0,2360.0,4294
SMFBS,2512.0,10,-3.46,2619.0,2512.0,2610.0,1396
SMFDB,1567.0,20,-1.14,1664.0,1555.0,1664.0,5357
SNLB,1684.0,35,0.84,1685.0,1670.0,1670.0,3446
SPDL,275.0,141,0.36,287.0,272.0,287.0,49922
SRBL,330.0,27,1.23,337.0,326.0,333.0,200978
SRBLD83,1060.0,50,-1.85,1060.0,1059.0,1059.0,316
